k = 3, accuracy = 0.7230769230769231
k = 5, accuracy = 0.7384615384615385
k = 7, accuracy = 0.7384615384615385
k = 9, accuracy = 0.7230769230769231
k = 11, accuracy = 0.7076923076923077
k = 13, accuracy = 0.7076923076923077
k = 15, accuracy = 0.7076923076923077
k = 17, accuracy = 0.7230769230769231
k = 19, accuracy = 0.7076923076923077
k = 21, accuracy = 0.6923076923076923
k = 23, accuracy = 0.6923076923076923
k = 25, accuracy = 0.6923076923076923
k = 27, accuracy = 0.6923076923076923
k = 29, accuracy = 0.676923076923077
k = 31, accuracy = 0.676923076923077
k = 33, accuracy = 0.6615384615384615
k = 35, accuracy = 0.6461538461538462
k = 37, accuracy = 0.6461538461538462
k = 39, accuracy = 0.6461538461538462
k = 41, accuracy = 0.6
k = 43, accuracy = 0.5846153846153846
k = 45, accuracy = 0.5692307692307692
k = 47, accuracy = 0.5692307692307692
k = 49, accuracy = 0.5538461538461539
k = 51, accuracy = 0.5230769230769231
k = 53, accuracy = 0.47692307692307695
k = 55, accuracy = 0.49230769230769234
k = 57, accuracy = 0.49230769230769234
k = 59, accuracy = 0.4461538461538462
k = 61, accuracy = 0.4153846153846154
k = 63, accuracy = 0.4153846153846154
k = 65, accuracy = 0.4
k = 67, accuracy = 0.4
k = 69, accuracy = 0.4
k = 71, accuracy = 0.36923076923076925
k = 73, accuracy = 0.35384615384615387
k = 75, accuracy = 0.35384615384615387
k = 77, accuracy = 0.35384615384615387
k = 79, accuracy = 0.35384615384615387
k = 81, accuracy = 0.35384615384615387
k = 83, accuracy = 0.3384615384615385
k = 85, accuracy = 0.35384615384615387
k = 87, accuracy = 0.36923076923076925
k = 89, accuracy = 0.35384615384615387
k = 91, accuracy = 0.35384615384615387
k = 93, accuracy = 0.35384615384615387
k = 95, accuracy = 0.35384615384615387
k = 97, accuracy = 0.35384615384615387
k = 99, accuracy = 0.3230769230769231
